歌曲id,歌名,歌曲语言,演唱人数,歌词,歌曲来源,歌曲简介,风格,标签
1,来自天空的呼唤,中文,1,,warma,这个歌是幻酱唱的第一个作品哦，很有纪念意义呢。,清新，愉快,光遇
2,逐渐加快,日文,1,,warma,,清新，愉快，日系,VOCALOID传说曲
3,单相思,日文,1,,Aimer,,日系，恋爱,
4,天之弱,日文,1,,Akie秋绘,,悠扬，空灵，日系,
5,约定,日文,1,,Akie秋绘,,悠扬，空灵，日系,
6,幻化成风,中文，日文,1,,奈奈莉娅Channel,,干净，愉快，日系,
7,稻香日语版,日文,1,,梦音茶糯,,日系，经典,
8,向夜晚奔去,日文,1,,YOASOBI,,日系，经典,
9,若能描绘生命,日文,1,,YOASOBI,,日系,
10,群青,日文,1,,YOASOBI,,日系，经典,
11,偶像,日文,1,,YOASOBI,,日系，动漫,
12,雨き声残響,日文,1,,Akie秋绘,,日系,
13,ラブレター(Love Letter),日文,1,,YOASOBI,,日系,
14,あの夢をなぞって,日文,1,,YOASOBI,,日系,
15,たぶん(Tabun),日文,1,,YOASOBI,,日系,
16,怪物 (Monster),日文,1,,YOASOBI,,日系，动漫,
17,采茶纪,中文,1,,warma,,清新，愉快，田园,
18,花月夜,日文,1,,瑶山百灵,,悠扬，空灵,车万，东方project
19,打上火花,日文,1,,Akie秋绘,,悠扬，填词翻唱,原神
20,祝福,日文,1,,YOASOBI,,日系，动漫,
21,紫罗兰的永恒花园OP《Sincerely》,日文,1,,紫罗兰的永恒花园,,日系，动漫,
22,花葬桃源,中文,1,,hanser,,日系,独立游戏，穿越
23,緋色月下、狂咲之絶,日文,1,,hanser,,暗黑,车万，芙兰朵露，东方project
24,天狼星的心脏,日文,1,,异世界情绪,,日系,
25,永夜のパレード,日文,2,,ケーキ姫，JUMA,这是幻酱的入坑曲哦，幻就是听了这首歌入坑的东方的,经典,车万，东方project
26,不问天,中文,2,,哔哩哔哩拜年纪,,国风,哔哩哔哩拜年纪
27,游山恋（纳西妲如来小曲）,中文,1,,海伦,,古风，恶搞,原神
28,祈愿~致那时候的你~ 《願い~あの頃のキミへ~》,日文,1,,当山真铃,,日系,代表作
29,所念皆星河,中文,1,,房东的猫,,干净，梦幻,填词翻唱
30,我不曾忘记_幻酱中日英合唱,中文，日文，英文,3,,原神,,梦幻，动听,原神，合唱，代表作
31,她曾活过啊（きていたんだよな）,日文,1,,あいみょん Aimyon,,日系,抑郁症
32,愛言葉Ⅲ,日文,1,,初音未来,,日系，经典,虚拟歌手
33,愛言葉IV,日文,1,,初音未来,,日系，经典,虚拟歌手
34,彼女は旅に出る (她踏上了旅程),日文,1,,鎖那,,悠扬，动听，日系,
35,愛言葉,日文,1,,初音未来,,日系，经典,虚拟歌手
36,Aimer-《糸》,日文,1,,Aimer,,日系,
37,花降らし,日文,1,,初音未来,,日系，经典,
38,Super Star,中文,1,,S.H.E,,电子，激昂，华语，经典,
39,潮汐,中文,1,,安苏羽，傅梦彤,,流行，热门,
40,小城夏天,中文,1,,LBI利比,,流行,
41,老男孩,中文,1,,筷子兄弟,,华语，经典,
42,雪distance,中文,1,,Capper，罗言RollFlash,,热门,
43,幽灵法则,日文,1,,初音未来,,电子，激昂，日系,V家，虚拟歌手
44,东京不太热,中文,1,,洛天依,,流行,虚拟歌手，V家
45,快乐的扑满,中文,1,,巴啦啦小魔仙,,干净，愉快，悠扬,巴啦啦小魔仙片尾曲，童年回忆
46,不怕,中文,1,,神兵小将,,干净，愉快,神兵小将片尾曲
47,妄想税,日文,1,,初音未来,,电子，日系,V家，虚拟歌手
